Project,Expedition,Location,Spot,Date,First Observer,Second Observer
TLV,Tel Aviv Project,Tel Aviv,Jaffa Port,16.3.2021,Yoni Belmaker,Tal Gavriely 
,,,,,Yoni Belmaker,Tal Gavriely 
