Project,Expedition,Location,Spot,Date,First Observer,Second Observer
TLV,Tel Aviv Project,Tel Aviv,Tel Aviv Port,12.1.2021,Shevy Rothman,Noy Shapira
,,,Tel Aviv Marina,,Shevy Rothman,Noy Shapira
